STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,puppeteer_HL ,2024-07-24T07:27:30.961Z
STATUS  ,connected ,puppeteer    ,2024-07-24T07:27:34.930Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-24T07:27:43.898Z
STATUS  ,connected ,OpenWPM      ,2024-07-24T07:27:53.562Z
STATUS  ,ping      ,puppeteer_HL ,2024-07-24T07:27:53.565Z ,            1.5
STATUS  ,ping      ,puppeteer    ,2024-07-24T07:27:53.565Z ,            1.5
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-24T07:27:53.565Z ,            1.5
STATUS  ,ping      ,OpenWPM      ,2024-07-24T07:27:53.567Z ,            2.5
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-24T07:28:01.921Z ,          724   ,             0 ,             1544 ,          2807 ,         7884
CRAWLED ,url#1     ,puppeteer    ,2024-07-24T07:28:02.040Z ,         1100   ,             0 ,             1663 ,          2898 ,         7884
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-24T07:28:09.798Z ,         7925   ,             0 ,             9421 ,          9383 ,         7884
CRAWLED ,url#1     ,OpenWPM      ,2024-07-24T07:28:09.805Z ,         9380   ,             0 ,             9428 ,          9387 ,         7884
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-24T07:28:39.192Z ,         1168   ,             0 ,             1781 ,          3103 ,         5420
CRAWLED ,url#2     ,puppeteer    ,2024-07-24T07:28:38.973Z ,         1236   ,             0 ,             1562 ,          2869 ,         5420
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-24T07:28:44.393Z ,         4915   ,             0 ,             6982 ,          6938 ,         5420
CRAWLED ,url#2     ,OpenWPM      ,2024-07-24T07:28:44.123Z ,         6144   ,             0 ,             6712 ,          6695 ,         5420
CRAWLED ,url#3     ,puppeteer_HL ,2024-07-24T07:29:03.969Z ,          862   ,             0 ,             1387 ,          2728 ,         5333
CRAWLED ,url#3     ,puppeteer    ,2024-07-24T07:29:04.160Z ,         1155   ,             0 ,             1578 ,          2950 ,         5333
CRAWLED ,url#3     ,OpenWPM_HL   ,2024-07-24T07:29:09.302Z ,         4885   ,             0 ,             6720 ,          6681 ,         5333
CRAWLED ,url#3     ,OpenWPM      ,2024-07-24T07:29:09.298Z ,         6148   ,             0 ,             6716 ,          6665 ,         5333
CRAWLED ,url#4     ,puppeteer_HL ,2024-07-24T07:29:29.139Z ,         1031   ,             0 ,             1691 ,          3087 ,         5161
CRAWLED ,url#4     ,puppeteer    ,2024-07-24T07:29:28.844Z ,         1174   ,             0 ,             1396 ,          2737 ,         5161
CRAWLED ,url#4     ,OpenWPM_HL   ,2024-07-24T07:29:33.851Z ,         4563   ,             0 ,             6403 ,          6384 ,         5161
CRAWLED ,url#4     ,OpenWPM      ,2024-07-24T07:29:34.005Z ,         5926   ,             0 ,             6557 ,          6535 ,         5161
CRAWLED ,url#5     ,puppeteer_HL ,2024-07-24T07:29:53.535Z ,          602   ,             0 ,             1322 ,          2531 ,         5767
CRAWLED ,url#5     ,puppeteer    ,2024-07-24T07:29:53.679Z ,         1000   ,             0 ,             1466 ,          2781 ,         5767
CRAWLED ,url#5     ,OpenWPM_HL   ,2024-07-24T07:29:59.302Z ,         5285   ,             0 ,             7089 ,          7054 ,         5767
CRAWLED ,url#5     ,OpenWPM      ,2024-07-24T07:29:59.145Z ,         6590   ,             0 ,             6932 ,          6911 ,         5767
CRAWLED ,url#6     ,puppeteer_HL ,2024-07-24T07:30:19.233Z ,         1049   ,             0 ,             1796 ,          3150 ,         5647
CRAWLED ,url#6     ,puppeteer    ,2024-07-24T07:30:18.739Z ,         1149   ,             0 ,             1302 ,          2637 ,         5647
CRAWLED ,url#6     ,OpenWPM_HL   ,2024-07-24T07:30:24.386Z ,         4829   ,             0 ,             6949 ,          6929 ,         5647
CRAWLED ,url#6     ,OpenWPM      ,2024-07-24T07:30:23.780Z ,         5977   ,             0 ,             6343 ,          6324 ,         5647
CRAWLED ,url#7     ,puppeteer_HL ,2024-07-24T07:30:43.867Z ,          703   ,             0 ,             1317 ,          2607 ,         5283
CRAWLED ,url#7     ,puppeteer    ,2024-07-24T07:30:44.240Z ,         1416   ,             0 ,             1690 ,          3013 ,         5283
CRAWLED ,url#7     ,OpenWPM_HL   ,2024-07-24T07:30:48.946Z ,         4649   ,             0 ,             6396 ,          6379 ,         5283
CRAWLED ,url#7     ,OpenWPM      ,2024-07-24T07:30:49.150Z ,         5833   ,             0 ,             6600 ,          6584 ,         5283
CRAWLED ,url#8     ,puppeteer_HL ,2024-07-24T07:31:08.454Z ,          713   ,             0 ,             1166 ,          2455 ,         5919
CRAWLED ,url#8     ,puppeteer    ,2024-07-24T07:31:09.239Z ,         1591   ,             0 ,             1951 ,          3250 ,         5919
CRAWLED ,url#8     ,OpenWPM_HL   ,2024-07-24T07:31:14.373Z ,         5051   ,             0 ,             7085 ,          7066 ,         5919
CRAWLED ,url#8     ,OpenWPM      ,2024-07-24T07:31:13.746Z ,         6002   ,             0 ,             6458 ,          6440 ,         5919
CRAWLED ,url#9     ,puppeteer_HL ,2024-07-24T07:31:43.923Z ,          817   ,             0 ,             1411 ,          2739 ,         5049
CRAWLED ,url#9     ,puppeteer    ,2024-07-24T07:31:44.070Z ,         1103   ,             0 ,             1558 ,          2876 ,         5049
CRAWLED ,url#9     ,OpenWPM_HL   ,2024-07-24T07:31:48.915Z ,         4587   ,             0 ,             6403 ,          6378 ,         5049
CRAWLED ,url#9     ,OpenWPM      ,2024-07-24T07:31:48.972Z ,         6179   ,             0 ,             6460 ,          6391 ,         5049
CRAWLED ,url#10    ,puppeteer_HL ,2024-07-24T07:32:18.601Z ,          846   ,             0 ,             1546 ,          2860 ,         5459
CRAWLED ,url#10    ,puppeteer    ,2024-07-24T07:32:18.649Z ,         1094   ,             0 ,             1594 ,          2916 ,         5459
CRAWLED ,url#10    ,OpenWPM_HL   ,2024-07-24T07:32:24.060Z ,         4816   ,             0 ,             7005 ,          6982 ,         5459
CRAWLED ,url#10    ,OpenWPM      ,2024-07-24T07:32:23.791Z ,         6156   ,             0 ,             6736 ,          6716 ,         5459
CRAWLED ,url#11    ,puppeteer_HL ,2024-07-24T07:32:43.738Z ,         1029   ,             0 ,             1567 ,          2840 ,         5124
CRAWLED ,url#11    ,puppeteer    ,2024-07-24T07:32:43.782Z ,         1290   ,             0 ,             1611 ,          2961 ,         5124
CRAWLED ,url#11    ,OpenWPM_HL   ,2024-07-24T07:32:48.862Z ,         5595   ,             0 ,             6691 ,          6672 ,         5124
CRAWLED ,url#11    ,OpenWPM      ,2024-07-24T07:32:48.687Z ,         6286   ,             0 ,             6516 ,          6494 ,         5124
CRAWLED ,url#12    ,puppeteer_HL ,2024-07-24T07:33:08.874Z ,         1070   ,             0 ,             1864 ,          3203 ,         4774
CRAWLED ,url#12    ,puppeteer    ,2024-07-24T07:33:08.985Z ,         1482   ,             0 ,             1975 ,          3282 ,         4774
CRAWLED ,url#12    ,OpenWPM_HL   ,2024-07-24T07:33:13.648Z ,         4739   ,             0 ,             6638 ,          6617 ,         4774
CRAWLED ,url#12    ,OpenWPM      ,2024-07-24T07:33:13.514Z ,         5815   ,             0 ,             6504 ,          6485 ,         4774
CRAWLED ,url#13    ,puppeteer_HL ,2024-07-24T07:33:43.404Z ,          885   ,             0 ,             1611 ,          2920 ,         4992
CRAWLED ,url#13    ,puppeteer    ,2024-07-24T07:33:43.595Z ,         1388   ,             0 ,             1802 ,          3356 ,         4992
CRAWLED ,url#13    ,OpenWPM_HL   ,2024-07-24T07:33:48.396Z ,         4781   ,             0 ,             6603 ,          6578 ,         4992
CRAWLED ,url#13    ,OpenWPM      ,2024-07-24T07:33:48.367Z ,         6156   ,             0 ,             6574 ,          6555 ,         4992
CRAWLED ,url#14    ,puppeteer_HL ,2024-07-24T07:34:18.049Z ,          834   ,             0 ,             1502 ,          2858 ,         4986
CRAWLED ,url#14    ,puppeteer    ,2024-07-24T07:34:18.300Z ,         1312   ,             0 ,             1753 ,          3093 ,         4986
CRAWLED ,url#14    ,OpenWPM_HL   ,2024-07-24T07:34:23.035Z ,         4757   ,             0 ,             6488 ,          6468 ,         4986
CRAWLED ,url#14    ,OpenWPM      ,2024-07-24T07:34:22.912Z ,         5715   ,             0 ,             6365 ,          6349 ,         4986
CRAWLED ,url#15    ,puppeteer_HL ,2024-07-24T07:34:52.788Z ,         1018   ,             0 ,             1618 ,          2920 ,         4859
CRAWLED ,url#15    ,puppeteer    ,2024-07-24T07:34:52.798Z ,         1217   ,             0 ,             1628 ,          2953 ,         4859
CRAWLED ,url#15    ,OpenWPM_HL   ,2024-07-24T07:34:57.451Z ,         4629   ,             0 ,             6281 ,          6258 ,         4859
CRAWLED ,url#15    ,OpenWPM      ,2024-07-24T07:34:57.647Z ,         5935   ,             0 ,             6477 ,          6462 ,         4859
CRAWLED ,url#16    ,puppeteer_HL ,2024-07-24T07:35:27.194Z ,          954   ,             0 ,             1588 ,          2889 ,         5078
CRAWLED ,url#16    ,puppeteer    ,2024-07-24T07:35:27.333Z ,         1309   ,             0 ,             1727 ,          3064 ,         5078
CRAWLED ,url#16    ,OpenWPM_HL   ,2024-07-24T07:35:32.272Z ,         4666   ,             0 ,             6666 ,          6642 ,         5078
CRAWLED ,url#16    ,OpenWPM      ,2024-07-24T07:35:31.999Z ,         6015   ,             0 ,             6393 ,          6371 ,         5078
CRAWLED ,url#17    ,puppeteer_HL ,2024-07-24T07:35:52.254Z ,         1294   ,             0 ,             1817 ,          3125 ,         5270
CRAWLED ,url#17    ,puppeteer    ,2024-07-24T07:35:52.048Z ,         1346   ,             0 ,             1611 ,          2918 ,         5270
CRAWLED ,url#17    ,OpenWPM_HL   ,2024-07-24T07:35:57.090Z ,         4619   ,             0 ,             6653 ,          6633 ,         5270
CRAWLED ,url#17    ,OpenWPM      ,2024-07-24T07:35:57.318Z ,         5969   ,             0 ,             6881 ,          6863 ,         5270
CRAWLED ,url#18    ,puppeteer_HL ,2024-07-24T07:36:16.815Z ,          692   ,             0 ,             1349 ,          2626 ,         5272
CRAWLED ,url#18    ,puppeteer    ,2024-07-24T07:36:17.133Z ,         1441   ,             0 ,             1667 ,          3002 ,         5272
CRAWLED ,url#18    ,OpenWPM_HL   ,2024-07-24T07:36:21.768Z ,         4592   ,             0 ,             6302 ,          6288 ,         5272
CRAWLED ,url#18    ,OpenWPM      ,2024-07-24T07:36:22.087Z ,         5855   ,             0 ,             6621 ,          6601 ,         5272
CRAWLED ,url#19    ,puppeteer_HL ,2024-07-24T07:36:41.886Z ,         1228   ,             0 ,             1745 ,          3055 ,         5646
CRAWLED ,url#19    ,puppeteer    ,2024-07-24T07:36:41.430Z ,          908   ,             0 ,             1289 ,          2595 ,         5646
CRAWLED ,url#19    ,OpenWPM_HL   ,2024-07-24T07:36:46.999Z ,         5082   ,             0 ,             6858 ,          6840 ,         5646
CRAWLED ,url#19    ,OpenWPM      ,2024-07-24T07:36:47.076Z ,         5966   ,             0 ,             6935 ,          6918 ,         5646
CRAWLED ,url#20    ,puppeteer_HL ,2024-07-24T07:37:06.872Z ,          928   ,             0 ,             1583 ,          2886 ,         5258
CRAWLED ,url#20    ,puppeteer    ,2024-07-24T07:37:06.890Z ,         1268   ,             0 ,             1601 ,          2992 ,         5258
CRAWLED ,url#20    ,OpenWPM_HL   ,2024-07-24T07:37:12.130Z ,         5008   ,             0 ,             6841 ,          6823 ,         5258
CRAWLED ,url#20    ,OpenWPM      ,2024-07-24T07:37:11.804Z ,         5949   ,             0 ,             6515 ,          6497 ,         5258
CRAWLED ,url#21    ,puppeteer_HL ,2024-07-24T07:37:31.919Z ,         1302   ,             0 ,             1641 ,          2960 ,         5772
CRAWLED ,url#21    ,puppeteer    ,2024-07-24T07:37:31.940Z ,         1309   ,             0 ,             1662 ,          2995 ,         5772
CRAWLED ,url#21    ,OpenWPM_HL   ,2024-07-24T07:37:37.691Z ,         5286   ,             0 ,             7413 ,          7396 ,         5772
CRAWLED ,url#21    ,OpenWPM      ,2024-07-24T07:37:37.458Z ,         6349   ,             0 ,             7180 ,          7163 ,         5772
CRAWLED ,url#22    ,puppeteer_HL ,2024-07-24T07:38:07.134Z ,          739   ,             0 ,             1276 ,          2668 ,         5496
CRAWLED ,url#22    ,puppeteer    ,2024-07-24T07:38:07.733Z ,         1408   ,             0 ,             1875 ,          3179 ,         5496
CRAWLED ,url#22    ,OpenWPM_HL   ,2024-07-24T07:38:12.630Z ,         4618   ,             0 ,             6772 ,          6753 ,         5496
CRAWLED ,url#22    ,OpenWPM      ,2024-07-24T07:38:12.157Z ,         5705   ,             0 ,             6299 ,          6282 ,         5496
CRAWLED ,url#23    ,puppeteer_HL ,2024-07-24T07:38:42.492Z ,         1119   ,             0 ,             1698 ,          3046 ,         5315
CRAWLED ,url#23    ,puppeteer    ,2024-07-24T07:38:42.451Z ,         1350   ,             0 ,             1657 ,          3032 ,         5315
CRAWLED ,url#23    ,OpenWPM_HL   ,2024-07-24T07:38:46.924Z ,         4641   ,             0 ,             6130 ,          6107 ,         5315
CRAWLED ,url#23    ,OpenWPM      ,2024-07-24T07:38:47.766Z ,         6047   ,             0 ,             6972 ,          6939 ,         5315
CRAWLED ,url#24    ,puppeteer_HL ,2024-07-24T07:39:07.695Z ,         1203   ,             0 ,             1801 ,          3183 ,         5722
CRAWLED ,url#24    ,puppeteer    ,2024-07-24T07:39:07.072Z ,          964   ,             0 ,             1178 ,          2466 ,         5722
CRAWLED ,url#24    ,OpenWPM_HL   ,2024-07-24T07:39:12.794Z ,         5147   ,             0 ,             6900 ,          6876 ,         5722
CRAWLED ,url#24    ,OpenWPM      ,2024-07-24T07:39:12.638Z ,         6128   ,             0 ,             6744 ,          6722 ,         5722
CRAWLED ,url#25    ,puppeteer_HL ,2024-07-24T07:39:32.723Z ,         1200   ,             0 ,             1797 ,          3076 ,         4925
CRAWLED ,url#25    ,puppeteer    ,2024-07-24T07:39:32.809Z ,         1540   ,             0 ,             1883 ,          3207 ,         4925
CRAWLED ,url#25    ,OpenWPM_HL   ,2024-07-24T07:39:37.648Z ,         4856   ,             0 ,             6722 ,          6706 ,         4925
CRAWLED ,url#25    ,OpenWPM      ,2024-07-24T07:39:37.197Z ,         5910   ,             0 ,             6271 ,          6249 ,         4925
CRAWLED ,url#26    ,puppeteer_HL ,2024-07-24T07:40:06.840Z ,          795   ,             0 ,             1474 ,          2781 ,         5074
CRAWLED ,url#26    ,puppeteer    ,2024-07-24T07:40:07.041Z ,         1328   ,             0 ,             1675 ,          3037 ,         5074
CRAWLED ,url#26    ,OpenWPM_HL   ,2024-07-24T07:40:11.651Z ,         4586   ,             0 ,             6285 ,          6259 ,         5074
CRAWLED ,url#26    ,OpenWPM      ,2024-07-24T07:40:11.914Z ,         5968   ,             0 ,             6548 ,          6526 ,         5074
CRAWLED ,url#27    ,puppeteer_HL ,2024-07-24T07:40:31.092Z ,          605   ,             0 ,             1015 ,          2348 ,         5874
CRAWLED ,url#27    ,puppeteer    ,2024-07-24T07:40:31.971Z ,         1633   ,             0 ,             1894 ,          3235 ,         5874
CRAWLED ,url#27    ,OpenWPM_HL   ,2024-07-24T07:40:36.966Z ,         4895   ,             0 ,             6889 ,          6845 ,         5874
CRAWLED ,url#27    ,OpenWPM      ,2024-07-24T07:40:36.904Z ,         6152   ,             0 ,             6827 ,          6810 ,         5874
CRAWLED ,url#28    ,puppeteer_HL ,2024-07-24T07:40:56.469Z ,          746   ,             0 ,             1368 ,          2680 ,         5595
CRAWLED ,url#28    ,puppeteer    ,2024-07-24T07:40:56.673Z ,         1100   ,             0 ,             1572 ,          2924 ,         5595
CRAWLED ,url#28    ,OpenWPM_HL   ,2024-07-24T07:41:02.064Z ,         5160   ,             0 ,             6963 ,          6943 ,         5595
CRAWLED ,url#28    ,OpenWPM      ,2024-07-24T07:41:01.738Z ,         5811   ,             0 ,             6637 ,          6622 ,         5595
CRAWLED ,url#29    ,puppeteer_HL ,2024-07-24T07:41:21.893Z ,         1112   ,             0 ,             1693 ,          3011 ,         5370
CRAWLED ,url#29    ,puppeteer    ,2024-07-24T07:41:21.849Z ,         1347   ,             0 ,             1649 ,          2994 ,         5370
CRAWLED ,url#29    ,OpenWPM_HL   ,2024-07-24T07:41:26.329Z ,         4483   ,             0 ,             6129 ,          6067 ,         5370
CRAWLED ,url#29    ,OpenWPM      ,2024-07-24T07:41:27.219Z ,         6043   ,             0 ,             7019 ,          6997 ,         5370
CRAWLED ,url#30    ,puppeteer_HL ,2024-07-24T07:41:46.812Z ,          791   ,             0 ,             1425 ,          2771 ,         5273
CRAWLED ,url#30    ,puppeteer    ,2024-07-24T07:41:46.946Z ,         1183   ,             0 ,             1559 ,          2934 ,         5273
CRAWLED ,url#30    ,OpenWPM_HL   ,2024-07-24T07:41:51.965Z ,         4954   ,             0 ,             6578 ,          6559 ,         5273
CRAWLED ,url#30    ,OpenWPM      ,2024-07-24T07:41:52.085Z ,         6169   ,             0 ,             6698 ,          6681 ,         5273
CRAWLED ,url#31    ,puppeteer_HL ,2024-07-24T07:42:21.660Z ,          774   ,             0 ,             1403 ,          2705 ,         5188
CRAWLED ,url#31    ,puppeteer    ,2024-07-24T07:42:21.818Z ,         1228   ,             0 ,             1561 ,          2913 ,         5188
CRAWLED ,url#31    ,OpenWPM_HL   ,2024-07-24T07:42:26.528Z ,         4503   ,             0 ,             6271 ,          6224 ,         5188
CRAWLED ,url#31    ,OpenWPM      ,2024-07-24T07:42:26.848Z ,         5839   ,             0 ,             6591 ,          6572 ,         5188
CRAWLED ,url#32    ,puppeteer_HL ,2024-07-24T07:42:55.921Z ,          689   ,             0 ,             1279 ,          2591 ,         5148
CRAWLED ,url#32    ,puppeteer    ,2024-07-24T07:42:56.134Z ,         1169   ,             0 ,             1492 ,          2843 ,         5148
CRAWLED ,url#32    ,OpenWPM_HL   ,2024-07-24T07:43:01.002Z ,         4480   ,             0 ,             6360 ,          6342 ,         5148
CRAWLED ,url#32    ,OpenWPM      ,2024-07-24T07:43:01.069Z ,         5813   ,             0 ,             6427 ,          6404 ,         5148
CRAWLED ,url#33    ,puppeteer_HL ,2024-07-24T07:43:20.946Z ,         1030   ,             0 ,             1734 ,          3045 ,         5511
CRAWLED ,url#33    ,puppeteer    ,2024-07-24T07:43:20.497Z ,         1033   ,             0 ,             1285 ,          2567 ,         5511
